epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,13459.6,0.65456,0.5266,1.07263,0.91789,0.89653,0.9362,0.79137,0.64923,0.44719,1.02186,0.000226497,0.000226497,0.000226497
70,13641.5,0.63656,0.52287,1.06642,0.91702,0.8941,0.93383,0.79285,0.64933,0.45401,1.01939,0.000208813,0.000208813,0.000208813
71,13850,0.5285,0.37117,0.99357,0.91176,0.90536,0.93636,0.78721,0.66427,0.44991,1.02849,0.000191129,0.000191129,0.000191129
72,14031.1,0.51694,0.35263,0.9811,0.92596,0.89502,0.93753,0.78444,0.65579,0.44991,1.02158,0.000173445,0.000173445,0.000173445
73,14214.1,0.51214,0.35105,0.98616,0.90388,0.90661,0.9358,0.78896,0.65999,0.44325,1.03019,0.000155761,0.000155761,0.000155761
74,14395.4,0.49914,0.33929,0.96849,0.91674,0.91057,0.93731,0.78845,0.65774,0.4338,1.02494,0.000138077,0.000138077,0.000138077
75,14576.5,0.50007,0.33538,0.97432,0.92488,0.90283,0.94102,0.79331,0.64492,0.43467,1.0114,0.000120393,0.000120393,0.000120393
76,14765.5,0.49316,0.32918,0.9716,0.90874,0.91541,0.94085,0.79472,0.64012,0.42991,1.01582,0.000102709,0.000102709,0.000102709
77,14946.5,0.48965,0.32203,0.96735,0.9152,0.90431,0.93795,0.79265,0.63631,0.43682,1.01287,8.50255e-05,8.50255e-05,8.50255e-05
78,15126.9,0.48298,0.3253,0.96725,0.93038,0.88802,0.93755,0.79229,0.63835,0.43078,1.01591,6.73416e-05,6.73416e-05,6.73416e-05
79,15309.5,0.47509,0.31734,0.95733,0.92847,0.89067,0.93938,0.79091,0.63986,0.42951,1.01632,4.96578e-05,4.96578e-05,4.96578e-05
80,15492.4,0.47283,0.31156,0.96325,0.93058,0.89367,0.93959,0.79359,0.64005,0.42564,1.01862,3.19739e-05,3.19739e-05,3.19739e-05
